open supabase/.temp/profile: no such file or directory
Supabase CLI 2.67.1
Using profile: supabase (supabase.co)
Setting up Edge Functions runtime...
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/create-booking
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/handle-overdue
2026-01-01T17:44:27.817730292Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/constants.ts
2026-01-01T17:44:27.817738084Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/constants.ts
2026-01-01T17:44:27.817739209Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/constants.ts
2026-01-01T17:44:27.817933542Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/dirname.ts
2026-01-01T17:44:27.817937834Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/dirname.ts
2026-01-01T17:44:27.817966126Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/dirname.ts
2026-01-01T17:44:27.818879376Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/extname.ts
2026-01-01T17:44:27.818887834Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/extname.ts
2026-01-01T17:44:27.818888959Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/extname.ts
2026-01-01T17:44:27.818889959Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/format.ts
2026-01-01T17:44:27.818891001Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/format.ts
2026-01-01T17:44:27.818892001Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/format.ts
2026-01-01T17:44:27.819212501Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/from_file_url.ts
2026-01-01T17:44:27.819216251Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/from_file_url.ts
2026-01-01T17:44:27.819217376Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/from_file_url.ts
2026-01-01T17:44:27.819322584Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/is_absolute.ts
2026-01-01T17:44:27.819325834Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/is_absolute.ts
2026-01-01T17:44:27.819327792Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/is_absolute.ts
2026-01-01T17:44:27.819593292Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/join.ts
2026-01-01T17:44:27.819607126Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/join.ts
2026-01-01T17:44:27.819609709Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/join.ts
2026-01-01T17:44:27.820023001Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/normalize.ts
2026-01-01T17:44:27.820029209Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/normalize.ts
2026-01-01T17:44:27.820030334Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/normalize.ts
2026-01-01T17:44:27.820085751Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/parse.ts
2026-01-01T17:44:27.820088209Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/parse.ts
2026-01-01T17:44:27.820089251Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/parse.ts
2026-01-01T17:44:27.820623376Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/relative.ts
2026-01-01T17:44:27.820634001Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/relative.ts
2026-01-01T17:44:27.820635209Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/relative.ts
2026-01-01T17:44:27.821003751Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/resolve.ts
2026-01-01T17:44:27.821041917Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/resolve.ts
2026-01-01T17:44:27.821045251Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/resolve.ts
2026-01-01T17:44:27.821046292Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/to_file_url.ts
2026-01-01T17:44:27.821047334Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/to_file_url.ts
2026-01-01T17:44:27.821052251Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/to_file_url.ts
2026-01-01T17:44:27.821459292Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/to_namespaced_path.ts
2026-01-01T17:44:27.821463334Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/to_namespaced_path.ts
2026-01-01T17:44:27.821464459Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/to_namespaced_path.ts
2026-01-01T17:44:27.821796709Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/common.ts
2026-01-01T17:44:27.821804626Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/common.ts
2026-01-01T17:44:27.821805792Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/common.ts
2026-01-01T17:44:27.822071251Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/_interface.ts
2026-01-01T17:44:27.822074792Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/_interface.ts
2026-01-01T17:44:27.822078126Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/_interface.ts
2026-01-01T17:44:27.822229376Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/glob_to_regexp.ts
2026-01-01T17:44:27.822263167Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/glob_to_regexp.ts
2026-01-01T17:44:27.822268001Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/glob_to_regexp.ts
2026-01-01T17:44:27.822476292Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/is_glob.ts
2026-01-01T17:44:27.822479542Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/is_glob.ts
2026-01-01T17:44:27.822480626Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/is_glob.ts
2026-01-01T17:44:27.822679876Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/join_globs.ts
2026-01-01T17:44:27.822701292Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/join_globs.ts
2026-01-01T17:44:27.822704292Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/join_globs.ts
2026-01-01T17:44:27.822880167Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/normalize_glob.ts
2026-01-01T17:44:27.822922667Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/normalize_glob.ts
2026-01-01T17:44:27.822931376Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/normalize_glob.ts
2026-01-01T17:44:27.823045792Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/lib/buffer_utils.ts
2026-01-01T17:44:27.823050417Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/lib/buffer_utils.ts
2026-01-01T17:44:27.823341417Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/lib/buffer_utils.ts
2026-01-01T17:44:27.823353959Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/runtime/base64url.ts
2026-01-01T17:44:27.823356584Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/runtime/base64url.ts
2026-01-01T17:44:27.823358876Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/runtime/base64url.ts
2026-01-01T17:44:27.823467751Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/runtime/decrypt.ts
2026-01-01T17:44:27.823470709Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/runtime/decrypt.ts
2026-01-01T17:44:27.823471751Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/runtime/decrypt.ts
2026-01-01T17:44:27.823839917Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/runtime/zlib.ts
2026-01-01T17:44:27.823847876Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/runtime/zlib.ts
2026-01-01T17:44:27.823849084Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/runtime/zlib.ts
2026-01-01T17:44:27.823905501Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/lib/is_disjoint.ts
